Id	Name	ProductCode	Description	IsActive	Family	CreatedDate	CreatedById	LastModifiedDate	LastModifiedById	IsDeleted	CurrencyIsoCode
01t000000000000001	Product 1	SKU-00001	Sample product 1 description.	TRUE	Hardware	2024-01-01T10:00:00.000Z	005000000000000001	2024-01-02T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000002	Product 2	SKU-00002	Sample product 2 description.	TRUE	Software	2024-01-02T10:00:00.000Z	005000000000000002	2024-01-03T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000003	Product 3	SKU-00003	Sample product 3 description.	TRUE	Service	2024-01-03T10:00:00.000Z	005000000000000003	2024-01-04T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000004	Product 4	SKU-00004	Sample product 4 description.	TRUE	Subscription	2024-01-04T10:00:00.000Z	005000000000000001	2024-01-05T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000005	Product 5	SKU-00005	Sample product 5 description.	TRUE	Consumable	2024-01-05T10:00:00.000Z	005000000000000002	2024-01-06T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000006	Product 6	SKU-00006	Sample product 6 description.	TRUE	Hardware	2024-01-06T10:00:00.000Z	005000000000000003	2024-01-07T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000007	Product 7	SKU-00007	Sample product 7 description.	TRUE	Software	2024-01-07T10:00:00.000Z	005000000000000001	2024-01-08T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000008	Product 8	SKU-00008	Sample product 8 description.	TRUE	Service	2024-01-08T10:00:00.000Z	005000000000000002	2024-01-09T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000009	Product 9	SKU-00009	Sample product 9 description.	TRUE	Subscription	2024-01-09T10:00:00.000Z	005000000000000003	2024-01-10T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000010	Product 10	SKU-00010	Sample product 10 description.	FALSE	Consumable	2024-01-10T10:00:00.000Z	005000000000000001	2024-01-11T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000011	Product 11	SKU-00011	Sample product 11 description.	TRUE	Hardware	2024-01-11T10:00:00.000Z	005000000000000002	2024-01-12T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000012	Product 12	SKU-00012	Sample product 12 description.	TRUE	Software	2024-01-12T10:00:00.000Z	005000000000000003	2024-01-13T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000013	Product 13	SKU-00013	Sample product 13 description.	TRUE	Service	2024-01-13T10:00:00.000Z	005000000000000001	2024-01-14T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000014	Product 14	SKU-00014	Sample product 14 description.	TRUE	Subscription	2024-01-14T10:00:00.000Z	005000000000000002	2024-01-15T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000015	Product 15	SKU-00015	Sample product 15 description.	TRUE	Consumable	2024-01-15T10:00:00.000Z	005000000000000003	2024-01-16T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000016	Product 16	SKU-00016	Sample product 16 description.	TRUE	Hardware	2024-01-16T10:00:00.000Z	005000000000000001	2024-01-17T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000017	Product 17	SKU-00017	Sample product 17 description.	TRUE	Software	2024-01-17T10:00:00.000Z	005000000000000002	2024-01-18T10:00:00.000Z	005000000000000003	FALSE	USD
